Food Name,State,Type,Allergic Ingredients,Total Calories,Category
Beetroot Poriyal,Puducherry,Vegan,None,130,Meal
Chow Chow Kootu,Puducherry,Vegan,None,140,Meal
Paruppu Usili,Puducherry,Veg,None,200,Meal
Pongal,Puducherry,Veg,None,320,Meal
Banana Chips,Puducherry,Vegan,None,250,Meal
Chicken Fry,Puducherry,Non-Veg,None,420,Meal
Puli Kuzhambu,Puducherry,Vegan,None,180,Meal
Curd Rice,Puducherry,Veg,Dairy,220,Meal
Thattai,Puducherry,Vegan,None,200,Meal
Avial,Puducherry,Veg,None,180,Meal
Shrimp Fry,Puducherry,Non-Veg,Shellfish,310,Meal
Rasam,Puducherry,Vegan,None,100,Meal
Kara Chutney,Puducherry,Vegan,None,80,Meal
Egg Bhurji,Puducherry,Non-Veg,Egg,210,Meal
Kuzhi Paniyaram,Puducherry,Veg,Gluten,180,Meal
Ellu Podi,Puducherry,Vegan,Sesame,150,Meal
Cabbage Poriyal,Puducherry,Vegan,None,120,Meal
Masala Vada,Puducherry,Vegan,None,250,Meal
Thengai Chutney,Puducherry,Vegan,Coconut,120,Meal
Vendakkai Fry,Puducherry,Vegan,None,160,Meal
Sweet Pongal,Puducherry,Veg,Dairy,320,Meal
Egg Appam,Puducherry,Non-Veg,Egg,280,Meal
Milagu Rasam,Puducherry,Vegan,None,90,Meal
Mango Pachadi,Puducherry,Vegan,None,150,Meal
Kothamalli Thokku,Puducherry,Vegan,None,120,Meal
Mutton Chukka,Puducherry,Non-Veg,None,420,Meal
Ulli Theeyal,Puducherry,Vegan,None,190,Meal
Kadala Curry,Puducherry,Vegan,None,230,Meal
Chicken Kulambu,Puducherry,Non-Veg,None,400,Meal
Paniyaram,Puducherry,Veg,None,180,Meal
Murukku,Puducherry,Vegan,None,250,Meal
Kappa,Puducherry,Vegan,None,140,Meal
Pakhala Bhata,Odisha,Vegan,None,120,Meal
Dalma,Odisha,Veg,None,200,Meal
Chuda Ghasa,Odisha,Vegan,None,150,Meal
Macha Tarkari,Odisha,Non-Veg,Fish,250,Meal
Kanika,Odisha,Veg,None,230,Meal
Raja Chura,Odisha,Vegan,None,180,Meal
Khatta,Odisha,Veg,None,120,Meal
Dahi Bara Aloo Dum,Odisha,Veg,Dairy,350,Meal
Aloo Posto,Odisha,Veg,None,220,Meal
Ambila,Odisha,Veg,None,190,Meal
Santula,Odisha,Veg,None,150,Meal
Khichdi,Odisha,Veg,None,200,Meal
Macha Besara,Odisha,Non-Veg,Fish,270,Meal
Rasam,Odisha,Vegan,None,100,Meal
Bhendi Fry,Odisha,Veg,None,180,Meal
Chhenna Poda,Odisha,Veg,Dairy,300,Meal
Biryani,Odisha,Non-Veg,None,400,Meal
Pithas,Odisha,Veg,None,250,Meal
Puri Sabji,Odisha,Veg,None,320,Meal
Chhena Jhili,Odisha,Veg,Dairy,350,Meal
Ghee Rice,Odisha,Veg,Dairy,330,Meal
Murgi Kasa,Odisha,Non-Veg,Chicken,300,Meal
Bhaja Macha,Odisha,Non-Veg,Fish,250,Meal
Chingudi Malai Curry,Odisha,Non-Veg,Shrimp,350,Meal
Saja Dali,Odisha,Veg,None,180,Meal
Pakhala,Odisha,Vegan,None,130,Meal
Bamboo Shoot Curry,Odisha,Veg,None,190,Meal
Moong Dal Chilla,Odisha,Veg,None,250,Meal
Chenna Kasa,Odisha,Veg,Dairy,220,Meal
Mutton Kasa,Odisha,Non-Veg,Mutton,320,Meal
Macha Rai,Odisha,Non-Veg,Fish,280,Meal
Dahi Pakhala,Odisha,Veg,Dairy,180,Meal
Chakuli Pitha,Odisha,Veg,None,200,Meal
Biri Biri,Odisha,Veg,None,190,Meal
Chana Tarkari,Odisha,Veg,None,220,Meal
Macha Khatta,Odisha,Non-Veg,Fish,250,Meal
Kheema,Odisha,Non-Veg,Mutton,320,Meal
Aloo Chana Curry,Odisha,Veg,None,200,Meal
Dahi Bara,Odisha,Veg,Dairy,250,Meal
Fish Fry,Odisha,Non-Veg,Fish,280,Meal
Guguni,Odisha,Veg,None,180,Meal
Pakhal Pitha,Odisha,Veg,None,200,Meal
Mutton Kebab,Odisha,Non-Veg,Mutton,350,Meal
Khatta Meetha,Odisha,Veg,None,160,Meal
Prawn Curry,Odisha,Non-Veg,Prawn,270,Meal
Chenna Curry,Odisha,Veg,Dairy,210,Meal
Macha Rasa,Odisha,Non-Veg,Fish,280,Meal
Aloo Gobi,Odisha,Veg,None,220,Meal
Chenna Poda,Odisha,Veg,Dairy,300,Meal
Mutton Kasa,Odisha,Non-Veg,Mutton,320,Meal
Pitha,Odisha,Veg,None,200,Meal
Aloo Methi,Odisha,Veg,None,190,Meal
Kakharu Pitha,Odisha,Veg,None,180,Meal
Fish Curry,Odisha,Non-Veg,Fish,280,Meal
Chicken Curry,Odisha,Non-Veg,Chicken,320,Meal
Chhenna Kheema,Odisha,Veg,Dairy,230,Meal
Chura Pakhala,Odisha,Vegan,None,150,Meal
Macher Jhal,Odisha,Non-Veg,Fish,250,Meal
Chhena Besara,Odisha,Veg,Dairy,220,Meal
Dalma Pakhala,Odisha,Veg,None,210,Meal
Chenna Poda,Odisha,Veg,Dairy,310,Meal
Smoked Pork with Bamboo Shoot,Nagaland,Non-Veg,Pork,400,Meal
Naga King Chilli Pickle,Nagaland,Non-Veg,Chili,150,Meal
Pork Ribs with Bamboo Shoot,Nagaland,Non-Veg,Pork,350,Meal
Rice Cake,Nagaland,Veg,None,250,Meal
Chicken with Naga Chili,Nagaland,Non-Veg,Chicken,400,Meal
Fermented Soybean Paste,Nagaland,Vegan,Soybean,100,Meal
Naga Fish Curry,Nagaland,Non-Veg,Fish,350,Meal
Pork with Bamboo Shoot Soup,Nagaland,Non-Veg,Pork,250,Meal
Vegetable Stew,Nagaland,Veg,None,200,Meal
Naga Style Fried Fish,Nagaland,Non-Veg,Fish,300,Meal
Naga Bean Curry,Nagaland,Vegan,Beans,250,Meal
Naga Pork Belly,Nagaland,Non-Veg,Pork,400,Meal
Khawza,Nagaland,Veg,None,300,Meal
Smoked Pork Ribs,Nagaland,Non-Veg,Pork,350,Meal
Naga Spicy Chicken,Nagaland,Non-Veg,Chicken,400,Meal
Rice with Naga Pork,Nagaland,Non-Veg,Pork,450,Meal
Naga Bamboo Shoot Salad,Nagaland,Veg,None,150,Snack
Naga Green Chili Paste,Nagaland,Vegan,Chili,100,Meal
Pork with Naga Herbs,Nagaland,Non-Veg,Pork,400,Meal
Vegetable Stir Fry,Nagaland,Veg,None,200,Meal
Naga Chili Chicken,Nagaland,Non-Veg,Chicken,350,Meal
Bamboo Shoot and Pork Curry,Nagaland,Non-Veg,Pork,300,Meal
Sticky Rice with Pork,Nagaland,Non-Veg,Pork,400,Meal
Pork and Bamboo Shoot Salad,Nagaland,Non-Veg,Pork,250,Snack
Naga Style Fish Fry,Nagaland,Non-Veg,Fish,300,Meal
Chicken Soup with Herbs,Nagaland,Non-Veg,Chicken,200,Meal
Pork with Green Beans,Nagaland,Non-Veg,Pork,350,Meal
Spicy Naga Chicken Wings,Nagaland,Non-Veg,Chicken,350,Meal
Vegetable Curry with Rice,Nagaland,Veg,None,300,Meal
Pork with Garlic and Ginger,Nagaland,Non-Veg,Pork,400,Meal
Naga Meat Stew,Nagaland,Non-Veg,Beef,350,Meal
Naga Style Boiled Vegetables,Nagaland,Veg,None,150,Meal
Naga Dry Fish,Nagaland,Non-Veg,Fish,200,Meal
Bamboo Shoot and Fish Curry,Nagaland,Non-Veg,Fish,300,Meal
Naga Chicken Roast,Nagaland,Non-Veg,Chicken,400,Meal
Pork with Red Chilli,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Spicy Rice,Nagaland,Veg,None,250,Meal
Vegetable and Pork Stew,Nagaland,Non-Veg,Pork,300,Meal
Naga Pork with Herbs,Nagaland,Non-Veg,Pork,350,Meal
Pork with Naga Spices,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Chicken Stew,Nagaland,Non-Veg,Chicken,300,Meal
Bamboo Shoot Stir Fry,Nagaland,Veg,None,200,Meal
Pork and Beans Curry,Nagaland,Non-Veg,Pork,350,Meal
Spicy Naga Fried Rice,Nagaland,Veg,None,300,Meal
Chicken and Bamboo Shoot Soup,Nagaland,Non-Veg,Chicken,250,Meal
Naga Style Pork Ribs,Nagaland,Non-Veg,Pork,400,Meal
Vegetable and Bean Soup,Nagaland,Vegan,Beans,200,Meal
Spicy Pork Stir Fry,Nagaland,Non-Veg,Pork,350,Meal
Naga Fish and Bamboo Shoot Stew,Nagaland,Non-Veg,Fish,300,Meal
Rice with Naga Beans,Nagaland,Vegan,Beans,300,Meal
Pork with Naga Vegetables,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Spicy Fish,Nagaland,Non-Veg,Fish,300,Meal
Pork with Soybean,Nagaland,Non-Veg,Pork,350,Meal
Naga Chicken with Herbs,Nagaland,Non-Veg,Chicken,400,Meal
Vegetable and Pork Fried Rice,Nagaland,Non-Veg,Pork,400,Meal
Naga Pork and Bean Curry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Green Chili Soup,Nagaland,Vegan,Chili,150,Meal
Smoked Fish with Bamboo Shoot,Nagaland,Non-Veg,Fish,300,Meal
Naga Pork Belly Stew,Nagaland,Non-Veg,Pork,400,Meal
Vegetable and Rice Stir Fry,Nagaland,Veg,None,250,Meal
Pork with Naga Sauce,Nagaland,Non-Veg,Pork,350,Meal
Naga Chicken and Bamboo Shoot,Nagaland,Non-Veg,Chicken,350,Meal
Rice with Naga Bean Stew,Nagaland,Vegan,Beans,300,Meal
Naga Pork with Ginger,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Fish Stew,Nagaland,Non-Veg,Fish,300,Meal
Vegetable and Pork Rice Bowl,Nagaland,Non-Veg,Pork,350,Meal
Naga Spicy Pork Curry,Nagaland,Non-Veg,Pork,400,Meal
Chicken and Bean Curry,Nagaland,Non-Veg,Chicken,350,Meal
Naga Style Vegetable Soup,Nagaland,Vegan,None,150,Meal
Pork with Spicy Naga Herbs,Nagaland,Non-Veg,Pork,400,Meal
Naga Fish and Rice,Nagaland,Non-Veg,Fish,350,Meal
Vegetable and Pork Stir Fry,Nagaland,Non-Veg,Pork,300,Meal
Naga Style Spicy Bean Soup,Nagaland,Vegan,Beans,200,Meal
Smoked Pork with Spices,Nagaland,Non-Veg,Pork,400,Meal
Naga Green Chili Chicken,Nagaland,Non-Veg,Chicken,350,Meal
Bamboo Shoot and Pork Rice,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Pork Stew,Nagaland,Non-Veg,Pork,350,Meal
Vegetable and Chicken Stir Fry,Nagaland,Non-Veg,Chicken,300,Meal
Naga Bean and Rice Bowl,Nagaland,Vegan,Beans,300,Meal
Pork with Naga Pickles,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Spicy Fish Curry,Nagaland,Non-Veg,Fish,300,Meal
Chicken with Naga Beans,Nagaland,Non-Veg,Chicken,350,Meal
Pork and Vegetable Curry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Rice and Fish,Nagaland,Non-Veg,Fish,350,Meal
Vegetable and Pork Soup,Nagaland,Non-Veg,Pork,250,Meal
Naga Style Spicy Chicken Soup,Nagaland,Non-Veg,Chicken,250,Meal
Naga Fish and Vegetable Stir Fry,Nagaland,Non-Veg,Fish,300,Meal
Chicken with Bamboo Shoot Curry,Nagaland,Non-Veg,Chicken,300,Meal
Spicy Pork with Beans,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Vegetable Rice,Nagaland,Veg,None,300,Meal
Pork with Naga Sauce and Beans,Nagaland,Non-Veg,Pork,350,Meal
Naga Fish with Garlic,Nagaland,Non-Veg,Fish,300,Meal
Vegetable and Bean Stir Fry,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Chilies and Rice,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Chicken Curry,Nagaland,Non-Veg,Chicken,350,Meal
Spicy Naga Bean Soup,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Chili Pickle,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish with Vegetables,Nagaland,Non-Veg,Fish,300,Meal
Chicken with Spicy Naga Herbs,Nagaland,Non-Veg,Chicken,350,Meal
Pork and Bamboo Shoot Stir Fry,Nagaland,Non-Veg,Pork,350,Meal
Vegetable Rice Bowl,Nagaland,Veg,None,250,Meal
Naga Style Spicy Pork Curry,Nagaland,Non-Veg,Pork,400,Meal
Fish and Bean Stew,Nagaland,Non-Veg,Fish,300,Meal
Naga Pork with Bamboo Shoot Soup,Nagaland,Non-Veg,Pork,300,Meal
Vegetable and Pork Stir Fry with Rice,Nagaland,Non-Veg,Pork,350,Meal
Spicy Naga Pork Soup,Nagaland,Non-Veg,Pork,300,Meal
Chicken with Naga Beans and Rice,Nagaland,Non-Veg,Chicken,400,Meal
Naga Style Fish and Vegetable Curry,Nagaland,Non-Veg,Fish,300,Meal
Pork with Bamboo Shoot and Chili,Nagaland,Non-Veg,Pork,400,Meal
Vegetable Bean Stew,Nagaland,Vegan,Beans,200,Meal
Naga Spicy Fish Soup,Nagaland,Non-Veg,Fish,250,Meal
Pork and Vegetable Rice Stir Fry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Chicken and Rice,Nagaland,Non-Veg,Chicken,350,Meal
Vegetable and Naga Beans Stew,Nagaland,Vegan,Beans,200,Meal
Spicy Pork with Bamboo Shoots,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Rice Bowl,Nagaland,Non-Veg,Fish,300,Meal
Chicken with Naga Herbs and Rice,Nagaland,Non-Veg,Chicken,400,Meal
Naga Pork and Vegetable Soup,Nagaland,Non-Veg,Pork,300,Meal
Spicy Naga Bean Curry,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Spices and Rice,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Fish and Bean Soup,Nagaland,Non-Veg,Fish,250,Meal
Vegetable Stir Fry with Rice,Nagaland,Veg,None,250,Meal
Pork with Naga Beans and Herbs,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Spicy Chicken Stew,Nagaland,Non-Veg,Chicken,350,Meal
Spicy Pork and Vegetable Soup,Nagaland,Non-Veg,Pork,300,Meal
Naga Style Fish with Bamboo Shoots,Nagaland,Non-Veg,Fish,300,Meal
Chicken and Bean Stew,Nagaland,Non-Veg,Chicken,300,Meal
Pork with Naga Rice,Nagaland,Non-Veg,Pork,400,Meal
Vegetable and Pork Soup with Rice,Nagaland,Non-Veg,Pork,300,Meal
Naga Style Fish with Herbs,Nagaland,Non-Veg,Fish,300,Meal
Spicy Naga Pork Stew,Nagaland,Non-Veg,Pork,350,Meal
Chicken and Vegetable Stir Fry,Nagaland,Non-Veg,Chicken,300,Meal
Pork with Naga Chili Sauce,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Rice Stir Fry,Nagaland,Non-Veg,Fish,300,Meal
Vegetable Bean Soup with Rice,Nagaland,Vegan,Beans,200,Meal
Pork with Bamboo Shoot Curry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Chicken with Beans,Nagaland,Non-Veg,Chicken,350,Meal
Spicy Pork and Bean Stew,Nagaland,Non-Veg,Pork,300,Meal
Naga Style Fish Curry with Rice,Nagaland,Non-Veg,Fish,350,Meal
Chicken with Spicy Naga Vegetables,Nagaland,Non-Veg,Chicken,350,Meal
Pork and Naga Bean Stew,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Vegetable Stew,Nagaland,Non-Veg,Fish,300,Meal
Vegetable Stir Fry with Naga Herbs,Nagaland,Veg,None,250,Meal
Naga Style Chicken and Bean Curry,Nagaland,Non-Veg,Chicken,350,Meal
Pork with Naga Rice and Beans,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Fish and Vegetable Curry with Rice,Nagaland,Non-Veg,Fish,350,Meal
Chicken with Bamboo Shoot Stir Fry,Nagaland,Non-Veg,Chicken,300,Meal
Pork with Naga Beans and Vegetables,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Vegetable Stir Fry,Nagaland,Non-Veg,Fish,300,Meal
Vegetable Rice Stir Fry with Naga Spices,Nagaland,Veg,None,300,Meal
Pork with Naga Chili Stew,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Pork Stew,Nagaland,Non-Veg,Fish,350,Meal
Spicy Chicken with Naga Beans,Nagaland,Non-Veg,Chicken,350,Meal
Pork with Bamboo Shoots and Beans,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish Curry with Vegetables,Nagaland,Non-Veg,Fish,300,Meal
Vegetable and Naga Bean Curry,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Chili and Rice,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Vegetable Curry with Beans,Nagaland,Non-Veg,Fish,350,Meal
Chicken with Spicy Naga Beans,Nagaland,Non-Veg,Chicken,350,Meal
Pork and Naga Bean Curry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Spicy Fish Stew,Nagaland,Non-Veg,Fish,350,Meal
Vegetable and Naga Bean Soup,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Beans and Rice,Nagaland,Non-Veg,Pork,400,Meal
Naga Style Fish and Bean Stir Fry,Nagaland,Non-Veg,Fish,350,Meal
Spicy Chicken and Naga Beans,Nagaland,Non-Veg,Chicken,350,Meal
Pork with Naga Bean Soup,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Rice Curry,Nagaland,Non-Veg,Fish,350,Meal
Vegetable Stir Fry with Naga Beans,Nagaland,Vegan,Beans,200,Meal
Pork with Naga Bean Stir Fry,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Vegetable Soup,Nagaland,Non-Veg,Fish,300,Meal
Chicken with Spicy Naga Beans and Rice,Nagaland,Non-Veg,Chicken,350,Meal
Naga Style Fish Curry with Beans,Nagaland,Non-Veg,Fish,350,Meal
Vegetable Rice Stir Fry with Naga Herbs,Nagaland,Veg,None,300,Meal
Pork with Naga Spices and Beans,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Bean Curry,Nagaland,Non-Veg,Fish,350,Meal
Chicken with Naga Spices and Rice,Nagaland,Non-Veg,Chicken,400,Meal
Pork with Naga Beans and Rice,Nagaland,Non-Veg,Pork,350,Meal
Naga Style Fish and Vegetable Curry,Nagaland,Non-Veg,Fish,350,Meal
Bamboo Shoot Curry,Mizoram,Veg,None,200,Meal
Mizo Chicken Stew,Mizoram,Non-Veg,None,300,Meal
Mizo Fish Curry,Mizoram,Non-Veg,None,250,Meal
Vawksa Rep,Mizoram,Non-Veg,None,350,Meal
Mizo Veg Thali,Mizoram,Veg,None,500,Meal
Farcha Chicken,Mizoram,Non-Veg,None,400,Meal
Mizo Pork Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Pumpkin Curry,Mizoram,Veg,None,180,Meal
Khaw Hmoo,Mizoram,Non-Veg,None,320,Meal
Mizo Green Bean Curry,Mizoram,Veg,None,200,Meal
Mizo Chicken Fried Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Fish Soup,Mizoram,Non-Veg,None,150,Meal
Vawksa Bu,Mizoram,Non-Veg,None,400,Meal
Mizo Pork with Bamboo Shoot,Mizoram,Non-Veg,None,350,Meal
Mizo Green Leaf Salad,Mizoram,Vegan,None,120,Snack
Mizo Pumpkin Soup,Mizoram,Veg,None,150,Meal
Mizo Pork Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken Gravy,Mizoram,Non-Veg,None,300,Meal
Mizo Fried Fish,Mizoram,Non-Veg,None,250,Meal
Mizo Vegetable Soup,Mizoram,Veg,None,100,Meal
Mizo Chicken Salad,Mizoram,Non-Veg,None,200,Snack
Mizo Rice Cake,Mizoram,Veg,None,220,Meal
Mizo Bamboo Shoot Salad,Mizoram,Veg,None,150,Snack
Mizo Veg Stew,Mizoram,Veg,None,250,Meal
Mizo Chicken Noodles,Mizoram,Non-Veg,None,350,Meal
Mizo Pork Noodles,Mizoram,Non-Veg,None,360,Meal
Mizo Vegetable Fried Rice,Mizoram,Veg,None,300,Meal
Mizo Pork with Rice,Mizoram,Non-Veg,None,400,Meal
Mizo Chicken Skewers,Mizoram,Non-Veg,None,250,Meal
Mizo Egg Curry,Mizoram,Non-Veg,None,280,Meal
Mizo Vegetable Pakora,Mizoram,Veg,None,350,Meal
Mizo Grilled Fish,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken Soup,Mizoram,Non-Veg,None,200,Meal
Mizo Veg Pakora,Mizoram,Veg,None,300,Meal
Mizo Bamboo Shoot and Pork Stew,Mizoram,Non-Veg,None,400,Meal
Mizo Fried Rice with Chicken,Mizoram,Non-Veg,None,350,Meal
Mizo Green Bean Salad,Mizoram,Vegan,None,180,Snack
Mizo Pork and Bamboo Shoot Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken Curry with Rice,Mizoram,Non-Veg,None,400,Meal
Mizo Veg and Pork Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Vegetable and Rice,Mizoram,Veg,None,350,Meal
Mizo Chicken Thukpa,Mizoram,Non-Veg,None,300,Meal
Mizo Rice with Pork,Mizoram,Non-Veg,None,400,Meal
Mizo Pork and Vegetable Stir Fry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken with Bamboo Shoots,Mizoram,Non-Veg,None,320,Meal
Mizo Green Leaf Curry,Mizoram,Vegan,None,150,Meal
Mizo Pork and Vegetable Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Pumpkin and Rice,Mizoram,Veg,None,300,Meal
Mizo Pork and Bean Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Fried Fish with Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken with Vegetables,Mizoram,Non-Veg,None,300,Meal
Mizo Vegetable Stir Fry,Mizoram,Veg,None,200,Meal
Mizo Chicken with Rice and Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Pumpkin Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Fried Rice with Veg,Mizoram,Veg,None,300,Meal
Mizo Chicken and Pumpkin Curry,Mizoram,Non-Veg,None,320,Meal
Mizo Pork and Potato Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Vegetable and Chicken Salad,Mizoram,Non-Veg,None,250,Snack
Mizo Fish and Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Green Bean Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Vegetable Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Fried Pork with Rice,Mizoram,Non-Veg,None,400,Meal
Mizo Veg and Pork Stir Fry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken with Pumpkin,Mizoram,Non-Veg,None,300,Meal
Mizo Vegetable and Chicken Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Vegetable Rice,Mizoram,Non-Veg,None,400,Meal
Mizo Fried Fish and Veg,Mizoram,Non-Veg,None,300,Meal
Mizo Green Bean and Pork Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken with Beans,Mizoram,Non-Veg,None,320,Meal
Mizo Veg and Pork Noodles,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Green Bean Curry,Mizoram,Non-Veg,None,300,Meal
Mizo Pork and Veg Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken and Pumpkin Stew,Mizoram,Non-Veg,None,320,Meal
Mizo Fried Rice with Chicken and Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Pork with Rice and Veg,Mizoram,Non-Veg,None,400,Meal
Mizo Chicken and Bamboo Shoot Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Green Leaf and Rice Curry,Mizoram,Veg,None,300,Meal
Mizo Pork and Green Bean Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken Fried Rice with Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Vegetable Fried Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Veg Curry with Rice,Mizoram,Veg,None,350,Meal
Mizo Chicken with Bean Stew,Mizoram,Non-Veg,None,300,Meal
Mizo Pork and Green Bean Stir Fry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Rice Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Veg Salad,Mizoram,Vegan,None,120,Snack
Mizo Pork and Rice Soup,Mizoram,Non-Veg,None,300,Meal
Mizo Chicken with Pumpkin and Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Fried Fish with Veg and Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Vegetable Soup with Rice,Mizoram,Veg,None,300,Meal
Mizo Pork and Vegetable Stew with Rice,Mizoram,Non-Veg,None,400,Meal
Mizo Chicken and Bean Curry,Mizoram,Non-Veg,None,300,Meal
Mizo Fried Rice with Pork and Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Veg and Chicken Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Pork and Pumpkin Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Green Bean Stir Fry,Mizoram,Non-Veg,None,320,Meal
Mizo Veg and Rice Salad,Mizoram,Veg,None,180,Snack
Mizo Pork with Beans,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Pumpkin Stir Fry,Mizoram,Non-Veg,None,320,Meal
Mizo Fried Rice with Green Beans,Mizoram,Veg,None,300,Meal
Mizo Chicken with Veg Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Pork and Vegetable Salad,Mizoram,Non-Veg,None,250,Snack
Mizo Vegetable and Chicken Stew,Mizoram,Non-Veg,None,300,Meal
Mizo Chicken and Green Beans,Mizoram,Non-Veg,None,320,Meal
Mizo Pork Fried Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Veg and Chicken Noodles,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Rice Salad,Mizoram,Non-Veg,None,300,Snack
Mizo Chicken with Vegetable Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Pumpkin Salad,Mizoram,Non-Veg,None,250,Snack
Mizo Fried Rice with Pork,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Veg Curry,Mizoram,Non-Veg,None,300,Meal
Mizo Pork with Veg Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken with Pumpkin and Veg,Mizoram,Non-Veg,None,320,Meal
Mizo Fried Fish with Rice and Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Vegetable Soup with Pork,Mizoram,Non-Veg,None,250,Meal
Mizo Pork and Rice Curry,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Bean Salad,Mizoram,Non-Veg,None,250,Snack
Mizo Fried Rice with Veg and Chicken,Mizoram,Non-Veg,None,350,Meal
Mizo Pork and Vegetable Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken Stew with Veg,Mizoram,Non-Veg,None,300,Meal
Mizo Rice with Green Beans,Mizoram,Veg,None,250,Meal
Mizo Pork and Green Bean Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Chicken and Veg Salad,Mizoram,Non-Veg,None,250,Snack
Mizo Veg and Pork Stew,Mizoram,Non-Veg,None,350,Meal
Mizo Fried Fish and Rice,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Pumpkin Soup,Mizoram,Non-Veg,None,300,Meal
Mizo Pork Fried Rice with Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Veg Soup,Mizoram,Non-Veg,None,250,Meal
Mizo Pork with Pumpkin and Veg,Mizoram,Non-Veg,None,350,Meal
Mizo Fried Rice with Chicken,Mizoram,Non-Veg,None,350,Meal
Mizo Chicken and Vegetable Salad,Mizoram,Non-Veg,None,250,Snack
